Size, Type, Time
10, "Sequential", 0.000001
10, "Parallel", 0.003385
10, "Built-in", 0.000001
10, "Sequential", 0.000002
10, "Parallel", 0.004677
10, "Built-in", 0.000001
10, "Sequential", 0.000001
10, "Parallel", 0.004053
10, "Built-in", 0.000002
10, "Sequential", 0.000001
10, "Parallel", 0.004117
10, "Built-in", 0.000002
10, "Sequential", 0.000001
10, "Parallel", 0.003665
10, "Built-in", 0.000001
100, "Sequential", 0.000013
100, "Parallel", 0.036766
100, "Built-in", 0.000011
100, "Sequential", 0.000012
100, "Parallel", 0.026964
100, "Built-in", 0.000012
100, "Sequential", 0.000015
100, "Parallel", 0.021540
100, "Built-in", 0.000012
100, "Sequential", 0.000012
100, "Parallel", 0.025092
100, "Built-in", 0.000011
100, "Sequential", 0.000013
100, "Parallel", 0.024488
100, "Built-in", 0.000012
1000, "Sequential", 0.000169
1000, "Parallel", 0.054470
1000, "Built-in", 0.000156
1000, "Sequential", 0.000162
1000, "Parallel", 0.069251
1000, "Built-in", 0.000269
1000, "Sequential", 0.000221
1000, "Parallel", 0.075878
1000, "Built-in", 0.000160
1000, "Sequential", 0.000163
1000, "Parallel", 0.061712
1000, "Built-in", 0.000179
1000, "Sequential", 0.000166
1000, "Parallel", 0.064749
1000, "Built-in", 0.000157
10000, "Sequential", 0.002120
10000, "Parallel", 0.098007
10000, "Built-in", 0.002002
10000, "Sequential", 0.002222
10000, "Parallel", 0.108838
10000, "Built-in", 0.001912
10000, "Sequential", 0.002128
10000, "Parallel", 0.113395
10000, "Built-in", 0.001959
10000, "Sequential", 0.002241
10000, "Parallel", 0.099132
10000, "Built-in", 0.001983
10000, "Sequential", 0.002117
10000, "Parallel", 0.104324
10000, "Built-in", 0.001941
100000, "Sequential", 0.025096
100000, "Parallel", 0.163444
100000, "Built-in", 0.027305
100000, "Sequential", 0.041657
100000, "Parallel", 0.383414
100000, "Built-in", 0.066424
100000, "Sequential", 0.064392
100000, "Parallel", 0.421512
100000, "Built-in", 0.068217
100000, "Sequential", 0.054684
100000, "Parallel", 0.270341
100000, "Built-in", 0.049484
100000, "Sequential", 0.056414
100000, "Parallel", 0.332283
100000, "Built-in", 0.052913
1000000, "Sequential", 0.449565
1000000, "Parallel", 0.404673
1000000, "Built-in", 0.404169
1000000, "Sequential", 0.279338
1000000, "Parallel", 0.247254
1000000, "Built-in", 0.235560
1000000, "Sequential", 0.340296
1000000, "Parallel", 0.358830
1000000, "Built-in", 0.247566
1000000, "Sequential", 0.356301
1000000, "Parallel", 0.256763
1000000, "Built-in", 0.330170
1000000, "Sequential", 0.349072
1000000, "Parallel", 0.323953
1000000, "Built-in", 0.276927
30, "Sequential", 0.000003
30, "Parallel", 0.006833
30, "Built-in", 0.000003
30, "Sequential", 0.000002
30, "Parallel", 0.007239
30, "Built-in", 0.000003
30, "Sequential", 0.000003
30, "Parallel", 0.006855
30, "Built-in", 0.000003
30, "Sequential", 0.000003
30, "Parallel", 0.006440
30, "Built-in", 0.000003
30, "Sequential", 0.000003
30, "Parallel", 0.006746
30, "Built-in", 0.000002
300, "Sequential", 0.000052
300, "Parallel", 0.040149
300, "Built-in", 0.000044
300, "Sequential", 0.000037
300, "Parallel", 0.037804
300, "Built-in", 0.000046
300, "Sequential", 0.000037
300, "Parallel", 0.036257
300, "Built-in", 0.000054
300, "Sequential", 0.000037
300, "Parallel", 0.031390
300, "Built-in", 0.000045
300, "Sequential", 0.000036
300, "Parallel", 0.039152
300, "Built-in", 0.000042
3000, "Sequential", 0.000466
3000, "Parallel", 0.063205
3000, "Built-in", 0.000442
3000, "Sequential", 0.000477
3000, "Parallel", 0.068262
3000, "Built-in", 0.000429
3000, "Sequential", 0.000463
3000, "Parallel", 0.063570
3000, "Built-in", 0.000425
3000, "Sequential", 0.000465
3000, "Parallel", 0.078349
3000, "Built-in", 0.000417
3000, "Sequential", 0.000462
3000, "Parallel", 0.077883
3000, "Built-in", 0.000419
30000, "Sequential", 0.005900
30000, "Parallel", 0.090875
30000, "Built-in", 0.005786
30000, "Sequential", 0.006512
30000, "Parallel", 0.125767
30000, "Built-in", 0.007853
30000, "Sequential", 0.008443
30000, "Parallel", 0.141741
30000, "Built-in", 0.007965
30000, "Sequential", 0.008445
30000, "Parallel", 0.197293
30000, "Built-in", 0.014741
30000, "Sequential", 0.012234
30000, "Parallel", 0.171307
30000, "Built-in", 0.011422
300000, "Sequential", 0.143601
300000, "Parallel", 0.113764
300000, "Built-in", 0.070227
300000, "Sequential", 0.132212
300000, "Parallel", 0.240215
300000, "Built-in", 0.086177
300000, "Sequential", 0.104582
